"File","Para","ExpectedOwner","SignalRule","SignalGlossary","SignalTimeline","SignalCharacter","SignalDecision","RiskScore","RiskTags","Snippet"
"canon/01_world_rules_and_costs.md","67","rule","False","False","True","False","True","3","timeline_leak,decision_ref","**帝國歷 102 年**（見 [Decision Log CF-002](99_decision_log.md#decision-cf002)）： - 5 歲的晴香（生於帝國歷 97 年）目睹黑奏攻擊家園 - 母親花子和姊姊美夜子（26 歲）同時在她面前被殺 - 晴香的「潛力之種」被極端創傷激活，向[集體潛意識](02_glossary.md#term-collective-unconscious)發出願望 - 創造了 Beta 線—"
"canon/03_characters/akiho.md","14","character","True","False","False","False","False","2","rule_leak","愛莉事故構成秋穗角色弧的不可逆起點。此處只保留角色心理與責任意義；事故客觀鏈與機制口徑分別見 [Timeline：愛莉事故](../04_timeline_canon.md#event-airi-accident) 與 [Glossary：魔法屍骸](../02_glossary.md#term-magical-corpse)。"
"canon/03_characters/akiho.md","30","character","True","False","False","False","False","2","rule_leak","**Lie（核心謊言）**： - 「收集足夠能量就能救愛莉」——黑奏的承諾從未打算兌現 - 「結果才是一切」——過程中造成的傷害同樣真實且不可逆 - 「我是為了愛莉才這麼做」——部分動機是為了超越花子和自我救贖"
"canon/03_characters/aya.md","24","character","True","False","False","False","False","2","rule_leak","黑奏弒殺養父帝國皇帝並完成篡位。這標誌著她由「保護者」轉為「獨裁者」的不可逆轉折——為了保護彩，她需要權力；為了權力，她需要帝國；為了帝國，她需要成為她曾經憎恨的暴君。"
"canon/02_glossary.md","315","glossary","True","True","False","False","False","2","rule_leak","<a id=""term-causal-debt""></a> ### <a id=""term-causal-debt""></a>因果債務（Causal Debt） - 一句定義：每次強行改寫或縫合現實都會累積的系統性反噬成本，最終必須由某個主體償還。 - 重要性：它約束了「改變現實」的濫用，確保世界規則仍保有不可逆與代價。 - 例子： - 彩於[最終決戰](04_timeline_canon.md#event-aya-awakening)"
"canon/02_glossary.md","316","glossary","False","True","True","False","False","2","timeline_leak","<a id=""term-unit-01""></a> ### <a id=""term-unit-01""></a>Unit 01（美夜子兵器編號） - 一句定義：美夜子於復活後被帝國軍方編入的階段一兵器身份代碼。 - 重要性：它標記美夜子由「人」轉為「制度工具」的斷裂點，直接連結其後避難所詛咒。 - 例子： - [帝國歷 103-108 年](04_timeline_canon.md#event-unit01)被投入戰場 - 與[朔](03"
"canon/02_glossary.md","319","glossary","True","True","False","False","False","2","rule_leak","<a id=""term-corpse-transformation""></a> ### <a id=""term-corpse-transformation""></a>屍骸化（Corpse Transformation） - 一句定義：個體在情緒結構崩壞與規則侵蝕下，轉化為[魔法屍骸](#term-magical-corpse)的過程。 - 重要性：屍骸化是整個世界代價體系最直觀且最殘酷的可視後果。 - 例子： - [小光之死](04_t"
"canon/04_timeline_canon.md","3","timeline","False","False","False","True","False","2","character_leak","<!-- Sources: backup/screenwriter/05_Story_Outline_Director_Notes.md, backup/director/Major_Events_Character_Relationships_Analysis.md, backup/screenwriter/07_Major_Events_Character_Relationship_Impact_Analysis.md, backu"
"canon/05_story_outline_canon.md","3","mixed","False","False","False","True","False","2","character_leak","<!-- Sources: backup/screenwriter/05_Story_Outline_Director_Notes.md, backup/screenwriter/04_Story_Structure_Atmosphere_Events_Deep_Analysis.md, backup/director/Major_Events_Character_Relationships_Analysis.md, backup/sc"
"canon/99_decision_log.md","18","decision","False","False","True","False","False","2","timeline_leak","**矛盾**：晴香創世事件在 timeline_raw 為帝國歷 102 年，在 CAN-04 v1 為 109 年。"
"canon/99_decision_log.md","19","decision","False","False","True","False","False","2","timeline_leak","**裁決**：**採用帝國歷 102 年。** - 晴香 5 歲（97+5=102 ✓） - 美夜子 26 歲（76+26=102 ✓） - 109 年版本有內部矛盾（聲稱「5 歲」但 97+12=109）"
"canon/03_characters/iwakura_akane.md","47","character","True","False","False","False","False","2","rule_leak","本幕的角色功能是把朱音推到「被愛也不敢回頭」的位置。 她把屍骸當作可被餵養的孩子，實際上是在拒絕承認自己的喪失已不可逆。這種拒認讓她與隊伍必然對立。"
"canon/03_characters/ko_hikaru.md","27","character","True","False","False","False","False","2","rule_leak","**主題關聯**：子主題 A「力量的代價」——朱音的力量中斷直接導致小光的死亡。子主題 C「身份的本質」——屍骸化後的小光還是小光嗎？朱音選擇相信「是」，這個信念定義了她的墮落。[執念飽和](../02_glossary.md#term-saturation-of-obsession)——朱音對小光的愛轉化為不可逆的執念。 **主題關聯**：小光令朱音的悲劇變得不可抽象化。 當「守護」變成「拒認失去」，愛就會由連結變成囚禁；朱音的下墜由"
"canon/02_glossary.md","17","glossary","False","False","True","False","False","2","timeline_leak","晴香 5 歲時為救美夜子「改變現實」後創造的新世界（帝國歷 102 年）。魔法系統、情緒科技、魔法屍骸皆源於此。這是「態度層面」，回答「What it meant? / 我點樣活?」。與 Alpha 線不是「真 vs 假」，而是「事實 vs 詮釋」的雙重真相。"
