"File","Para","ExpectedOwner","RiskScore","RiskTags","Snippet"
"canon/03_characters/aya.md","24","character","2","rule_leak","黑奏弒殺養父帝國皇帝並完成篡位。這標誌著她由「保護者」轉為「獨裁者」的不可逆轉折——為了保護彩，她需要權力；為了權力，她需要帝國；為了帝國，她需要成為她曾經憎恨的暴君。"
"canon/03_characters/akiho.md","30","character","2","rule_leak","**Lie（核心謊言）**： - 「收集足夠能量就能救愛莉」——黑奏的承諾從未打算兌現 - 「結果才是一切」——過程中造成的傷害同樣真實且不可逆 - 「我是為了愛莉才這麼做」——部分動機是為了超越花子和自我救贖"
"canon/05_story_outline_canon.md","3","mixed","2","character_leak","<!-- Sources: backup/screenwriter/05_Story_Outline_Director_Notes.md, backup/screenwriter/04_Story_Structure_Atmosphere_Events_Deep_Analysis.md, backup/director/Major_Events_Character_Relationships_Analysis.md, backup/sc"
"canon/04_timeline_canon.md","3","timeline","2","character_leak","<!-- Sources: backup/screenwriter/05_Story_Outline_Director_Notes.md, backup/director/Major_Events_Character_Relationships_Analysis.md, backup/screenwriter/07_Major_Events_Character_Relationship_Impact_Analysis.md, backu"
"canon/03_characters/ko_hikaru.md","27","character","2","rule_leak","**主題關聯**：子主題 A「力量的代價」——朱音的力量中斷直接導致小光的死亡。子主題 C「身份的本質」——屍骸化後的小光還是小光嗎？朱音選擇相信「是」，這個信念定義了她的墮落。[執念飽和](../02_glossary.md#term-saturation-of-obsession)——朱音對小光的愛轉化為不可逆的執念。 **主題關聯**：小光令朱音的悲劇變得不可抽象化。 當「守護」變成「拒認失去」，愛就會由連結變成囚禁；朱音的下墜由"
"canon/03_characters/iwakura_akane.md","47","character","2","rule_leak","本幕的角色功能是把朱音推到「被愛也不敢回頭」的位置。 她把屍骸當作可被餵養的孩子，實際上是在拒絕承認自己的喪失已不可逆。這種拒認讓她與隊伍必然對立。"
"canon/02_glossary.md","184","glossary","2","rule_leak","> 本節只提供術語語意入口；任何規則條文、觸發條件與不可逆判定，以 [World Rules](01_world_rules_and_costs.md) 為唯一權威。"
"canon/03_characters/akiho.md","14","character","2","rule_leak","愛莉事故構成秋穗角色弧的不可逆起點。此處只保留角色心理與責任意義；事故客觀鏈與機制口徑分別見 [Timeline：愛莉事故](../04_timeline_canon.md#event-airi-accident) 與 [Glossary：魔法屍骸](../02_glossary.md#term-magical-corpse)。"
"canon/01_world_rules_and_costs.md","40","rule","1","decision_ref","> 統一口徑：情感耗損為主體機制，代謝反應為生理副作用。見 [Decision Log CF-001](99_decision_log.md#decision-cf001)。"
"canon/04_timeline_canon.md","15","timeline","1","decision_ref","> **世界分裂為 [Alpha](02_glossary.md#term-alpha-line)/[Beta](02_glossary.md#term-beta-line) 兩條時間線的關鍵時刻。** > 關於 102 年的裁決，見 [Decision Log CF-002](99_decision_log.md#decision-cf002)。"
"canon/04_timeline_canon.md","73","timeline","1","decision_ref","**統計**： - 涵蓋帝國歷 0-114 年 - 關鍵事件節點：80+ - Alpha/Beta 分歧點：**帝國歷 102 年**（見 [CF-002](99_decision_log.md#decision-cf002)） - 故事主線：帝國歷 113-114 年（約 21 個月）"
"canon/01_world_rules_and_costs.md","44","rule","1","decision_ref","<a id=""rule-physiological-rejection""></a> #### 生理排斥法則（Physiological Rejection） - **定義**：靈魂與肉身對外來高能情緒流的防禦性排斥，常呈現「先狂喜、後反噬」。 - **觸發條件**：高強度調律、反覆超限變身、長時間停留情緒污染區。 - **代價**：[靈魂延遲](02_glossary.md#term-soul-lag)、嘔吐、感官錯位、短暫解離。 - "
"canon/01_world_rules_and_costs.md","67","rule","1","decision_ref","**關鍵事件摘要**（事件年份與順序見 [Timeline](04_timeline_canon.md#event-alpha-divergence)；口徑見 [Decision Log CF-002](99_decision_log.md#decision-cf002)）： - 幼年晴香目睹黑奏攻擊家園 - 母親花子和姊姊美夜子同時在她面前被殺 - 晴香的「潛力之種」被極端創傷激活，向[集體潛意識](02_glossary.md#te"
"canon/02_glossary.md","83","glossary","1","decision_ref","**See also**: [World Rules](01_world_rules_and_costs.md#rule-magic-cost) | [Trinity Spectrum](#term-trinity-spectrum) | [Decision Log](99_decision_log.md#decision-cf001)"
"canon/01_world_rules_and_costs.md","53","rule","1","decision_ref","> 見 [Decision Log CF-004c](99_decision_log.md#decision-cf004c)"
"canon/01_world_rules_and_costs.md","55","rule","1","decision_ref","> 統一口徑：見 [Decision Log CF-004a](99_decision_log.md#decision-cf004a)"
