"SourcePath","CU_ID","CU_HASH","Included","Dest","Handling","Score","Status","Reason"
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔::U001","0bbdb89eda5c","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-0bbdb89eda5c","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔::U002","3b643bc514ba","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-3b643bc514ba","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/文件導航::U003","2322ba4def0a","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-2322ba4def0a","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/文件導航::U004","8e391f81f0e0","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-8e391f81f0e0","REPHRASED","0.83","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/文件導航::U005","58b63e273b96","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-58b63e273b96","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽::U006","6e410dbeb999","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-6e410dbeb999","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容::U007","0d85668842b2","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-0d85668842b2","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/1. 哲學框架（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U008","af5a83d317b0","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-af5a83d317b0","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/1. 哲學框架（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U009","f8e7322c1bcb","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-f8e7322c1bcb","REPHRASED","1","PASS",""
"backup/archive/15_Alpha_Beta_Discussion_Archive.md","15_Alpha_Beta_Discussion_Archive::HAlpha/Beta線討論歸檔/一、整合狀態總覽/✅ 已整合內容/1. 哲學框架（已整合至 14_Alpha_Beta_Narrative_Mechanics.md）::U010","11183c52666d","YES","legacy/source-backup-archive-15-alpha-beta-discussion-archive-md.md#cu-11183c52666d","REPHRASED","1","PASS",""
