1: 通風管道那夜（螢的犧牲）
2: 鐵絲網偶遇
3: 帝國實驗室：黑奏作為活體樣本
4: 花子的死亡瞬間
5: 刑思殺出實驗室
6: 黑奏弒父篡位
7: 凜×美夜子黃金搭檔
8: 凜殿後最終犧牲
9: 秋穗與愛莉的實驗室事故
10: 殿後的前夜
11: 屍骸的道歉
12: 彩的日常表演
13: 凜的情報蒐集現場
14: 出門確認儀式`[核心概念已重寫]`
15: 晴香遞便當（三層交疊）
16: 悲鳴女妖首戰
17: 情緒管理局的遠望
18: 操の虛榮告白
19: 變身場景
20: 膠布哲學三層
21: 花子的聲音
22: 鏡前幽靈
23: 晴香的城市獨行
24: 美夜子與小光的對話`[INFERRED]`
25: 操的獨舞冥想`[INFERRED]`
26: 朱音的糖果成癮
27: 秋穗的CGM開發
28: 花子的溫暖廚房
29: 珍寶珠入隊——朱音加入主角團
30: 操入隊——晴香以身體擋攻擊
31: 秋穗實驗室懺悔
32: 晴香鏡中整合
33: 美夜子Glitch Form首次
34: 放棄的那一秒
35: 既然如此，讓怪物有個家
36: 朱音的糖果王國展覽
37: 打怪無效
38: 小光之死＋黑奏邏輯侵入
39: 廢棄糖果工廠三人辯論
40: 彩系統卡頓第二次
41: 黑奏農場觀察
42: 鏡像相簿異變
43: 家長日大作戰
44: 操的摔碎時刻
45: 天使變公敵
46: 操回歸人類身軀
47: 甜品局掉牙
48: 紗夜犧牲——耳鳴遮蔽
49: 操絲線縫牙
50: 美夜子無價值留守
51: 飢餓的天使——直播失控
52: 操被遺棄
53: 死前願望清單
54: 既視感追認
55: 保護的殘響
56: 美夜子廢棄地鐵站夜明前
57: 幻象破滅——屍骸外流城市
58: 操的夜中人偶製作
59: 愛莉的童謠救贖
60: 愛莉具現化擋刀＋石像龜裂
61: 王國邊緣的盛宴
62: 凜重組後第一次遇見美夜子
63: 朔看見Unit 01的臉
64: 集體潛意識之城
65: 紙皮騎士防禦
66: 困獸的慈悲——朔見証之夜
67: 紫音下水道野獸化
68: 無名男孩速寫簿
69: 光幕濾鏡破碎
70: 操與紗夜最後一晨
71: 母親之愛的背面
72: 操的鏡前獨白
73: 廢棄糖果工廠
74: 月下崩潰
75: Fallen Angel 街道
76: 凜的雙面形態
77: 朔的日夜對比
78: 操的形式主義廢墟
79: 首次情緒連結危機
80: 小光死亡與屍骸化
81: 恐怖家家酒（學校）
82: 凜的人性消磨
83: 朱音的背叛與真相
84: 美夜子的三段式覺醒
85: 朔與黑市網絡
86: 美夜子鏡像反映
87: 光環的視覺顯現
88: 晴香與影子的雙舞
89: 玻璃庭院茶會
90: 糖果唐樓交易
91: 下水道無聲重逢
92: 刑思破繭
93: 嘆息之橋——凜獨角
94: 月下相認`[肢體接觸已修正為擁抱]`
95: 美夜子被迫介錯凜
96: 我還是人嗎？
97: 凜的最終選擇——Unit 00-Null揭露
98: 美夜子的貓殼復原
99: 操の被迫報串
100: 公告夜（紫音作為處決目標）
101: 親姊妹揭露現場
102: 愛不是佔有，是讓她自由
103: 集體潛意識正面衝突
104: 黑奏與晴香的病態愛恨對峙
105: 黑奏真身揭露
106: 愛莉的第二次改變現實決定
107: 彩的靈魂解放之光
108: 帝國廣場的市民凝滯
109: 夕嘗試重置世界
110: 操在集體潛意識尋見母親碎片`[角色身份已修正]`
111: 我選擇停留在我想停留的位置`[時序與角色狀態已修正]`
112: 鋼鐵獨舞
113: 三重道德處刑
114: 彩奪回身體
115: 糖果山犧牲
116: 帝國廣場決戰崩塌
117: 黑奏的帝國寶座
118: 集體潛意識的淤泥深海
119: 朔的雙刃生存
120: 彩在心房中摸熊公仔
121: 夕的臨別頓悟與消散
122: 媽媽從未停止愛我 `[DELETE_CANDIDATE]`
123: 糖果山與最後一頓飯
124: 彩的永恆輪迴開始
125: 夕完全奪取晴香身體
126: 二十年的內心地獄
127: 蜜月困境——K期靈魂監獄
128: 屍骸覺醒——L4
129: 膠布哲學第四層——覺醒後撕膠布
130: 夕5歲形態消散
131: 二十年後的第一個早晨
132: 秋穗與愛莉重逢
133: 美夜子笨拙演奏（全片最後一幕）
134: 整合場景
135: 三位一體永恆守護者終局 `[跨批次覆核修正]`
136: 緋潮反噬
137: 晴香的融合抉擇瞬間 `[跨批次覆核修正]`
138: 紙皮騎士的最後一擊
139: 靜止搖籃的粒子化進程 `[SUPERSEDED_CONCEPT]`
140: 美夜子的靈魂雙線`[INFERRED]`
141: 新世界的搖籃曲`[SUPERSEDED_CONCEPT]`
142: 美夜子終於哭出來
143: 時間折返的視覺化
144: 凜的孔雀之翼
145: 黑暗沖涼習慣
146: 紅線強迫症`[核心概念已修正]`
147: 研磨凜的斷刃
148: 半首旋律停頓
149: 強迫清洗儀式`[根源已修正]`
150: 透明物執著
151: 睡前熱可可成癮`[CDL已修正]`
152: 嚼冰塊危機
153: 破弦自傷`[部位已修正]`
154: 摺紙星星 `[SUPERSEDED — 見圖160]`
155: 石像前的懺悔`[視覺已修正]`
156: 儀器掃描愛莉遺物
157: 病態無痕修補`[根源已修正]`
158: K房唱歌——雨天
159: 長泳窒息習慣
160: 凜不自知摺星星（美夜子目擊）
161: 維多利亞之淚：人造太陽剖面圖
162: 集體潛意識空間：後巷過渡狀態
163: 心防內化裝置：製造過程
164: 情緒管理局：局內辦公空間
165: 靈樹：平時狀態
166: 帝國廣場：常態
167: Emo-Visor Gen 3：日區市民集體成癮
168: 屍骸化：心之器燃盡時刻
169: 彩的心房：通風管道永恆空間
170: 軟接觸——美夜子廢棄地鐵站遞水
171: 朔洩密
172: 秋穗第二次相遇——無臉執行官
173: 晴香拖長行動
