"File","Para","Hits","Snippet"
"canon/00_series_bible.md","6","glossary_like","- 本文件只負責其對應 Canon 範圍，不重寫其他文件的完整內容。 - 術語完整定義只放在 [Glossary](02_glossary.md)。 - 世界規則完整定義只放在 [World Rules](01_world_rules_and_costs.md)。 - 事件時間與..."
"canon/00_series_bible.md","9","glossary_like","**Premise**： 在一個情緒可以被量化、儲存、交易的[帝國](02_glossary.md#term-empire)中，魔法少女們以為自己是淨化負面情緒的英雄。但真相是：她們只是將痛苦從「可見」轉移到「不可見」的[集體潛意識](02_glossary.md#term-co..."
"canon/00_series_bible.md","10","glossary_like","**核心矛盾**： - **Alpha 線**：低魔世界，美夜子與母親花子死於黑奏攻擊 - **Beta 線**：晴香改變現實創造的世界，魔法系統、情緒科技、魔法屍骸皆源於此 - **20 年滯留**：晴香改變現實後因「因果債務」困在集體潛意識 20 年，暗面人格[「夕」](02..."
"canon/00_series_bible.md","13","glossary_like","> 這是一個「[黑暗治癒系](02_glossary.md#term-dark-healing)」故事。所有的殘酷、痛苦與絕望，都服務於一個終極目標——**讓觀眾透過故事得到治癒**。"
"canon/00_series_bible.md","14","glossary_like","**治癒主張**：`Dark Healing` 的實作要點如下（完整術語口徑見 [Glossary](02_glossary.md#term-dark-healing)）。 - 治癒不是逃避痛苦，而是在痛苦中找到自由 - 唯有經歷真實的黑暗，光明才有重量 - 觀眾透過見證角色在絕..."
"canon/00_series_bible.md","18","glossary_like","在不可控的、殘酷的命運面前，唯有「[態度](02_glossary.md#term-attitude-vs-fate)」是個體最後的、最珍貴的自由。"
"canon/00_series_bible.md","21","glossary_like","**核心敘事工具**： - **[膠布哲學](02_glossary.md#term-band-aid-philosophy)**：Beta 線是貼在 Alpha 傷口上的巨大膠布，二十年後發炎為緋潮 - **[情緒守恆定律](01_world_rules_and_costs.m..."
"canon/00_series_bible.md","29","glossary_like","本作把「世界的錯誤」定義為一個結構性缺陷，而非單一惡人：   人類可以在不感受他人痛苦的情況下做出傷害行為，令制度、技術與暴力容易結盟。黑奏把這個缺陷推到極端，提出[共振地獄](02_glossary.md#term-resonance-hell)作為修正方案；晴香則選擇另一條路..."
"canon/00_series_bible.md","40","glossary_like","### 核心視覺矛盾：[溫柔的殘酷](02_glossary.md#term-gentle-cruelty)"
"canon/00_series_bible.md","43","glossary_like","### 核心美學：[破碎的美學](02_glossary.md#term-aesthetics-of-the-flawed)"
"canon/00_series_bible.md","48","glossary_like","| 法則 | 內容 | |-----|------| | [質化](02_glossary.md#term-law-of-substance) | 情緒擁有物理屬性（質量、溫度、質感） | | [腐蝕](02_glossary.md#term-law-of-corruption)..."
"canon/00_series_bible.md","52","glossary_like","| # | 命題 | 核心問題 | |---|------|---------| | 1 | [未經同意的救贖](02_glossary.md#term-unsolicited-salvation) | 改變他人命運是否是暴力？ | | 2 | [執念飽和度](02_glossa..."
"canon/01_world_rules_and_costs.md","6","glossary_like","- 本文件只負責其對應 Canon 範圍，不重寫其他文件的完整內容。 - 術語完整定義只放在 [Glossary](02_glossary.md)。 - 世界規則完整定義只放在 [World Rules](01_world_rules_and_costs.md)。 - 事件時間與..."
"canon/01_world_rules_and_costs.md","10","glossary_like","| 形態 | 光譜位置 | 情緒狀態 | 主題意義 | |------|---------|---------|---------| | 人類 | 原點 | 多樣完整 | 連結的價值——即使沒有魔法，態度仍能帶來改變 | | [魔法少女](02_glossary.md#term-..."
"canon/01_world_rules_and_costs.md","14","glossary_like","**See also**: [Glossary: Trinity Spectrum](02_glossary.md#term-trinity-spectrum) | [Gameplay: Social Reputation](10_gameplay_bible.md#sectio..."
"canon/01_world_rules_and_costs.md","18","glossary_like","類似老香港的中西文化交匯城市，分為[日區](02_glossary.md#term-sun-district)和[夜區](02_glossary.md#term-night-district)："
"canon/01_world_rules_and_costs.md","21","glossary_like","- **統治者**：帝國皇帝（後期為黑奏） - **歷史**：為取得夜區[靈樹](02_glossary.md#term-spirit-tree)發動「靈樹戰爭」，大肆屠殺夜區原居民"
"canon/01_world_rules_and_costs.md","23","glossary_like,timeline_like","1. **基礎研究（帝國歷 79 年起）**：發動「靈樹戰爭」；捕獲黑奏作為活體樣本 2. **宏觀設施**：建造[維多利亞之淚](02_glossary.md#term-tears-of-victoria)作為中央監控系統 3. **核心技術突破（帝國歷 98 年前）**：秋穗..."
"canon/01_world_rules_and_costs.md","25","glossary_like","| 階段 | 代表人物 | 體制 | 結果 | |-----|---------|-----|------| | 零：原型體 | 黑奏 | — | 所有技術的源頭——被活體解剖逆向工程 | | 一：徵召兵器（廢棄） | 美夜子 (Unit 01) | 軍事化管理 | 人性不可控導..."
"canon/01_world_rules_and_costs.md","30","glossary_like","**定義**：[心匣](02_glossary.md#term-heart-container)並非外部道具，而是魔法少女[心之器](02_glossary.md#term-heart-vessel)在現實世界中的物理延伸。"
"canon/01_world_rules_and_costs.md","33","glossary_like","**A. 自然之道：[鏡中的承諾](02_glossary.md#term-mirror-promise)** - 使用者：極少數擁有強大意志與天賦者 - 本質：與「理想化的自我倒影」的浮士德式協議——自我對自我的放逐 - 開鎖儀式三部曲：獻祭（情感信物） → 諧振（心匣開啟） ..."
"canon/01_world_rules_and_costs.md","34","glossary_like","**B. 科技捷徑：[裝置的鑰匙](02_glossary.md#term-emotional-power-device)** - 使用者：軍方改造的「人型兵器」 - 鑄造過程：將少女精神推至極限 → 心之器產生裂痕 → 收割[情緒結晶](02_glossary.md#term-..."
"canon/01_world_rules_and_costs.md","37","glossary_like","**See also**: [Glossary: Reality Stitching](02_glossary.md#term-reality-stitching) | [Entities](07_entities_and_devices.md#section-heart-con..."
"canon/01_world_rules_and_costs.md","41","glossary_like","| 層級 | 內容 | 不可逆？ | |-----|------|---------| | **即時代價** | 每次開鎖消耗情感信物，心匣留下物理傷痕 | 是（傷痕永存） | | **累積代價** | 與單一情緒諧振越深，其他情緒感知能力萎縮 | 是 | | **長期代價** ..."
"canon/01_world_rules_and_costs.md","43","glossary_like","**See also**: [Glossary: Emotional Erosion](02_glossary.md#term-emotional-erosion) | [Glossary: Echo](02_glossary.md#term-echo)"
"canon/01_world_rules_and_costs.md","44","glossary_like","<a id=""rule-physiological-rejection""></a> #### 生理排斥法則（Physiological Rejection） - **定義**：靈魂與肉身對外來高能情緒流的防禦性排斥，常呈現「先狂喜、後反噬」。 - **觸發條件**：高強度調律、反..."
"canon/01_world_rules_and_costs.md","66","timeline_like","### <a id=""event-alpha-divergence""></a>晴香創世事件"
"canon/01_world_rules_and_costs.md","67","glossary_like,timeline_like","**帝國歷 102 年**（見 [Decision Log CF-002](99_decision_log.md#decision-cf002)）： - 5 歲的晴香（生於帝國歷 97 年）目睹黑奏攻擊家園 - 母親花子和姊姊美夜子（26 歲）同時在她面前被殺 - 晴香的「潛力之..."
"canon/01_world_rules_and_costs.md","68","glossary_like","**Beta 線的詛咒遺產**： 1. 魔法少女系統的誕生 2. [Emo-Visor](02_glossary.md#term-emo-visor) 的出現 3. 魔法屍骸的蔓延 4. 角色的個人詛咒"
"canon/01_world_rules_and_costs.md","70","timeline_like","**See also**: [Timeline](04_timeline_canon.md#event-alpha-divergence) | [Haruka](03_characters/haruka.md)"
"canon/01_world_rules_and_costs.md","75","glossary_like","**核心機制**： - Alpha 線是「債權人」——Beta 線被魔法消除的痛苦都變成情緒債務 - 魔法少女戰鬥時，並非消滅敵人，而是將債務推進集體潛意識深處 - 累積的負面情緒超過臨界值 → [緋潮](02_glossary.md#term-scarlet-tide)（強制破..."
"canon/01_world_rules_and_costs.md","77","glossary_like","**See also**: [Glossary: Emotion Conservation](02_glossary.md#term-emotion-conservation) | [Band-Aid Philosophy](02_glossary.md#term-band-ai..."
"canon/01_world_rules_and_costs.md","81","glossary_like","- **定義**：帝國把情緒視作可抽取、封裝、交易的資產，形成制度化情緒經濟。 - **觸發條件**：中央監控（[維多利亞之淚](02_glossary.md#term-tears-of-victoria)）與消費端（[Emo-Visor](02_glossary.md#term..."
"canon/01_world_rules_and_costs.md","88","glossary_like","**See also**: [Glossary: Mirror Law](02_glossary.md#term-mirror-law)"
"canon/01_world_rules_and_costs.md","95","glossary_like","**層級**（從低到高）： 1. [情緒諧振](02_glossary.md#term-emotional-resonance)：基礎機制 2. [調律](02_glossary.md#term-tuning)：實踐技藝 3. [現實縫合](02_glossary.md#term..."
"canon/01_world_rules_and_costs.md","101","glossary_like","- **主題用途**：此節只定義不可逆邊界，命題層收束交由 [Series Bible](00_series_bible.md#section-core-theme) 與 [Glossary](02_glossary.md#term-attitude-vs-fate)。"
"canon/02_glossary.md","17","timeline_like","晴香 5 歲時為救美夜子「改變現實」後創造的新世界（帝國歷 102 年）。魔法系統、情緒科技、魔法屍骸皆源於此。這是「態度層面」，回答「What it meant? / 我點樣活?」。與 Alpha 線不是「真 vs 假」，而是「事實 vs 詮釋」的雙重真相。"
"canon/02_glossary.md","18","timeline_like","**See also**: [Alpha Line](#term-alpha-line) | [Band-Aid Philosophy](#term-band-aid-philosophy) | [Timeline](04_timeline_canon.md#event-alph..."
"canon/02_glossary.md","66","rule_like","由情緒結晶製成的金屬「萬能匙」，繞過內心提煉過程的速成器。軍方將少女精神推至極限，從心之器裂痕收割「靈魂之刺」（情緒結晶），鑄造為裝置。使用者燃燒自己未來靈魂換取現在力量，代價加劇不可逆。"
"canon/02_glossary.md","156","rule_like","多出現在關節、鎖骨、脊線等高壓能量路徑，平時是低可見暗紋，高輸出時會發亮、擴散，與[光環](#term-halo)節拍錯位。它不是裝飾，而是「代價正在發生」的身體提示層。當枷鎖紋與光環同時失穩，通常意味角色正接近不可逆耗損閾值。"
"canon/02_glossary.md","184","rule_like","> 本節只提供術語語意入口；任何規則條文、觸發條件與不可逆判定，以 [World Rules](01_world_rules_and_costs.md) 為唯一權威。"
"canon/02_glossary.md","231","rule_like","在術語層，腐蝕法則只標示「由紋章顯現到結晶剝落的不可逆耗損鏈」。分階段視覺規格見 [Visual Bible](06_visual_bible.md#section-corruption-stages)；機制條文見 [World Rules](01_world_rules_and..."
"canon/02_glossary.md","261","timeline_like","**See also**: [美夜子覺醒事件](04_timeline_canon.md#event-miyako-awakening) | [Miyako](03_characters/miyako.md#section-existence-collapse) | [Dark ..."
